X,Y,OBJECTID,COLS_KEY,LSN,POI_NAME,POI_TYPE,POI_SOURCE,PRIMARY_USE,ALT_GEOM,PHONE_NUM,GLOBALID,WEBSITE,OB_GYN,PEDIATRICS,PRIMARY_CARE,SUTQ_RATING,SNAP,WIC
1796883.73724689,731334.361342728,20415656,626098,3750 ZANE TRACE DR,Pet Brands,Industrial - Warehouse,,Y,Y,,{F2C8EB1B-45DB-412A-B929-0D857CD18806},,,,,,,
1842714.91166048,749717.238290817,20415657,1268125,2645 MORSE RD,Kohler Bathroom & Kitchen Products,Retail - Commercial/Retail,,Y,Y,,{3A9C7DC9-08CD-4D6F-A03D-7B41D18DD20E},,,,,,,
1847615.29195155,689890.356632471,20415658,465109,3699 ALUM CREEK DR,Shasta National Beverage Warehouse,Industrial - Warehouse,,Y,Y,6144599945,{6986355D-E68F-42EC-9B65-77BAD21BB0F9},,,,,,,
1796091.28017038,728398.931189984,20415659,810355,2180 N WILSON RD,Metal Supermarkets,Retail - Commercial/Retail,,Y,Y,,{067557F5-3473-4887-BF6E-1737847ACA36},,,,,,,
1806697.1287093,712614.778047055,20415660,885361,2872 W BROAD ST,American Health Network ,Medical - Other,,Y,Y,,{B007DE45-FA77-4A34-8B37-5D9350A038B3},,,,,,,
1811920.68781596,747958.287740484,20415661,1061909,1496 OLD HENDERSON RD,Arlington Massage Therapy,Medical - Other,,Y,Y,614-224-1720,{32A2D190-5EC2-4EE4-8715-5C7A4C5122E5},,,,,,,
1804434.29333997,770080.440346479,20415662,949187,2642 BILLINGSLEY RD,"Bone, Joint and Spine Clinic",Medical - Other,,Y,Y,,{F2C49DAC-1F2E-41C6-ACAB-4B660F09B8C9},,,,,,,
1801755.28983971,712526.086951479,20415663,1012330,45 N WILSON RD,Dental 2000,Medical - Dental,,Y,Y,,{AEB4DD34-3B6F-44D9-B55D-AD5E4ACE09E2},,,,,,,
1824660.47040722,777832.328385979,20415664,1239713,72 DILLMONT DR,Dr Shoe,Medical - Other,,Y,Y,,{F7BA92F8-CAB3-49A9-82F0-9EB82283D8F6},,,,,,,
1829514.34193306,706650.373637304,20415665,98570,1128 1/2 S HIGH ST,Edward Straub DDS,Medical - Dental,,Y,Y,,{B55F86DC-9C8B-4B00-8E66-72E443AF219B},,,,,,,
1824510.47037914,777750.328549981,20415666,1239709,26 DILLMONT DR,Mark S. Fisher DDS,Medical - Dental,,Y,Y,,{26B8A0E9-7E6B-439F-9FC5-644A813B8D4D},,,,,,,
1866991.47235923,750047.869519308,20415667,1635456,5006 N HAMILTON RD,Lady Jane's Haircuts for Men,Retail - Services,,Y,Y,,{CDBD2C2F-2446-4902-B401-AF8A0C2818F0},,,,,,,
1810160.76351431,751122.96448198,20415668,56216,5072 REED RD,Pediatric & Adolescent Medicine,Medical - Physician,,Y,Y,,{006397AD-0FC4-4598-90C3-806430ED365A},,,Y,,,,
1826262.44817439,729601.436002806,20415669,,22 E 17TH AVE,Pregnancy Decision Health Center,Medical - Women's Health,,Y,N,614-444-4411,{DDF0EC2B-9090-4C87-B1C0-F75FAE0FFD09},http://pdhc.org/,,,,,,
1810936.01032339,748113.427522063,20415670,811231,1650 OLD HENDERSON RD,Richard Miller DDS,Medical - Dental,,Y,Y,6144709733,{388CAA4A-0D65-46B4-90CE-C8A549866987},,,,,,,
1811767.04803139,747987.323771641,20415671,586262,1520 OLD HENDERSON RD,The Breathing Association,Medical - Other,,N,Y,614-457-4570,{D4DB6025-9F0A-46EE-B163-89FFE35DD728},http://www.breathingassociation.org/,,,,,,
1833797.27070314,711078.32672365,20415672,974557,655 E LIVINGSTON AVE,Center for Family Safety and Healing,Medical - Other,,Y,Y,,{D478491B-A5DA-4EEA-899B-E47D9D0621ED},,,,,,,
1827547.08274423,687274.431418151,20415673,1240910,3747 S HIGH ST,Aspen Dental,Medical - Dental,,Y,Y,,{7B4F1FC8-ABC2-4C27-8DEF-DBAF60AB27A4},,,,,,,
1834033.34864305,715843.372639731,20415674,465087,785 E BROAD ST,Association For Psychotherapy,Medical - Other,,Y,Y,6142341300,{A6E4529E-6590-443C-8881-8AE7EDD4C16F},,,,,,,
1828228.37370448,727103.383584231,20415675,167097,239 CHITTENDEN AVE,Chittenden Veterinary Clinic,Medical - Veterinary,,Y,Y,,{D2B2AE0E-94BC-462A-8D58-1ED082E84630},,,,,,,
1840662.87016089,718839.54020381,20415676,961562,254 WOODLAND AVE,"Luther Ike, DDS",Medical - Dental,,Y,Y,6144815555,{5AD7AAAF-9730-4303-B749-5752CDFD5A56},,,,,,,
1860715.10269414,701948.198658481,20415677,972851,4265 DONLYN CT,EBE Healthcare ,Medical - Other,,Y,Y,,{95E7EC06-4438-4E88-A306-29BE8E0F41A9},,,,,,,
1834753.03814855,711581.08818531,20415678,1328296,575 S 18TH ST,NW Childrens Hospital Education Center,Medical - Other,,Y,Y,,{FCA711B6-C17E-44B1-B8FD-EEDF6743A610},,,,,,,
1834664.41857514,751302.833872899,20415679,811713,4661 KARL RD,Fresenius Kidney Care Central Ohio Dialysis,Medical - Other,,Y,Y,614-297-6923,{BEB3CA68-9558-4998-A5C5-82C77BA09715},,,,,,,
1800698.80671647,717271.252001807,20415680,1112630,701 HADLEY DR,Universal Processing Co,Retail - Services,,Y,Y,,{3F179CD2-2275-49E9-BA4F-C7C4EBA07E49},,,,,,,
1829871.70375113,721968.778039813,20415681,1232757,350 E 1ST AVE,Berry Brothers Boltworks Building,Public Places - Other,,Y,Y,,{E10824E4-6C1E-456A-A145-E3AEBE6B3495},,,,,,,
1819057.28804405,724358.89563489,20415682,770418,1400 HOLLY AVE,ZoCo Design,Retail - Services,,Y,Y,,{7F654786-7468-4BA2-AEA5-2B73EBFD0DD2},,,,,,,
1805457.35264556,708435.375644729,20415683,1073620,3100 SULLIVANT AVE,Somali Bantu Youth & Family,Office - Non-Profit,,Y,Y,6149283788,{C4338164-75F2-4489-BE20-74C641530039},,,,,,,
1836361.39024681,713401.491368636,20415684,549382,1051 E MAIN ST,Represent Columbus,Office - Non-Profit,,Y,Y,,{22EFE455-5F65-4A8E-8DC7-5DC7FCE06E2B},,,,,,,
1833449.65131964,715303.059743971,20415685,562867,63 PARSONS AVE,The Beauty Box Organic Salon & Spa,Retail - Services,,Y,Y,,{842F557F-55AC-4C2F-97F8-4822C285769D},,,,,,,
1829986.34853497,711493.37543422,20415686,233764,500 S 4TH ST  1,Advanced Auto Insurance Network,Office - Corporate,,Y,Y,,{DA5906A3-22D8-4C09-B777-D8DDFDD7C0A0},,,,,,,
1824760.35439381,713123.378079727,20415687,589438,185 MCDOWELL ST,All American Welding,Retail - Services,,Y,Y,,{D6297056-8BDE-45D6-B085-F50F2B9D0A2D},,,,,,,
1804983.9254428,712307.103465557,20415688,222050,3105 W BROAD ST,NRG Gallery,Retail - Commercial/Retail,,Y,Y,,{0B70BCF1-5934-4BB7-90E5-6734A6284363},,,,,,,
1826324.34962539,710433.376569971,20415689,460803,548 MAIER PL,Community Computer Alliance,Office - Corporate,,Y,Y,,{9F673457-B65B-426E-9E8C-1656B181C6C3},,,,,,,
1829158.34395739,707584.374722064,20415690,507355,999 S HIGH ST,Dale A Frenz Attorney ,Office - Corporate,,Y,Y,,{E2EDA9EC-F54C-4733-81CB-69C195A1383D},,,,,,,
1860615.51431064,701956.185519144,20415691,1074436,4259 DONLYN CT,Express Tax,Retail - Services,,Y,Y,,{138A0AFA-0C26-4A50-A207-EAD894FE7700},,,,,,,
1828845.35836288,717129.378925979,20415692,446552,121 E CHESTNUT ST,Gerber,Office - Corporate,,Y,Y,,{51354697-7B02-4F57-8D7E-79BB913762D3},,,,,,,
1828299.37356247,727099.383592233,20415693,168968,247 CHITTENDEN AVE,"Hardwick, Inc Real Estate",Office - Corporate,,Y,Y,,{121B3158-370E-4436-AF05-27FA2C2057A6},,,,,,,
1819154.35707563,713754.377473891,20415694,420658,1206 W BROAD ST,Integrated Services for Behavioral Health,Office - Non-Profit,,Y,Y,614-869-0054,{9D808989-A442-4DBF-9571-8D6BC364EEF6},,,,,,,
1836181.82859805,731342.13134031,20415695,772945,1979 CLEVELAND AVE,Healthland Pharmacy,Retail - Commercial/Retail,,Y,Y,,{922D0C31-ECD8-4F9E-BEF7-E3A030D9A273},,,,,,,
1844057.42144264,768996.330638066,20415696,823574,555 W SCHROCK RD STE 120,Med West Eyecare,Medical - Other,,Y,Y,,{1D397B64-4770-4F8F-8EE5-89E4A1FBC0D9},,,,,,,
1853988.97605455,699122.803718731,20415697,461583,3480 REFUGEE RD,First Church of God,Public Places - House of Worship,,Y,Y,,{CA20138C-DB42-4760-89B0-85B0A7F39FEC},,,,,,,
1833747.34921506,715735.373511896,20415698,106202,741 E BROAD ST,Netcare Access,Medical - Other,,Y,Y,781-697-1011,{FA35DDBA-C762-4C84-A009-F0BC518EFFEF},,,,,,,
1829486.34166098,706534.373541221,20415699,11740,12 MITHOFF ST,North Community Counseling,Medical - Other,,Y,Y,,{1828772B-90B0-4A97-9633-3996081137C8},,,,,,,
1844061.42143464,768947.330736056,20415700,772926,555 W SCHROCK RD,Northside Internal Medicine,Medical - Physician,,Y,Y,,{1EAC6014-A04A-40FA-ABE8-CDA93E244F71},,,,Y,,,
1822358.83098164,725106.529310226,20415701,1297438,505 KING AVE,Battelle Research Institute ,Medical - Research/Laboratory,,Y,Y,6144763338,{DD669ADD-02B7-4E27-BF68-26AC313C1A6D},,,,,,,
1829192.34487364,708310.374910474,20415702,701949,900 S HIGH ST UNIT 1A,Buckeye Equity Services,Office - Corporate,,Y,Y,,{D9090B55-7CFA-467B-8693-E48E9E8069A7},,,,,,,
1826130.37822856,729432.383191317,20415703,607139,1924 N HIGH ST,Chase ATM,Office - Bank,,Y,Y,,{9D414CD1-0C2E-413B-AF36-F0781C97C33D},,,,,,,
1803181.71415222,702734.281075805,20415704,549378,3500 CLIME RD,Chase Bank,Office - Bank,,Y,Y,,{F47AF73B-A9BA-47B2-BC88-8699E0EB3AB0},,,,,,,
1826123.37824255,729493.383069307,20415705,663306,1928 N HIGH ST,Huntington Bank,Office - Bank,,Y,Y,,{1EB93884-79CD-4B77-AB12-F30D1752774D},,,,,,,
