community_id,shape_area,shape_length
380,12450792.73,14763.92378
388,330456789.5,139179.7665
384,195709616.6,125543.1241
370,431335457.5,80863.44816
373,137109498.8,48990.92964
378,459052680.3,127261.9191
362,81731735.95,39627.91729
387,40304001.92,32547.75475
361,303163263.5,81432.19432
380,12450792.73,14763.92378
365,196893375.2,70462.72383
364,44478385.8,32187.48719
374,57750675.68,44006.97966
370,431335457.5,80863.44816
363,462300122.8,105732.6938
365,196893375.2,70462.72383
371,101686007.7,49639.24318
366,25779412.89,22754.95273
388,330456789.5,139179.7665
365,196893375.2,70462.72383
379,69740488.21,38121.51007
370,431335457.5,80863.44816
359,714140374.7,394997.951
373,137109498.8,48990.92964
388,330456789.5,139179.7665
378,459052680.3,127261.9191
373,137109498.8,48990.92964
385,281234475,144978.4045
371,101686007.7,49639.24318
380,12450792.73,14763.92378
393,116589341.6,60039.22772
388,330456789.5,139179.7665
363,462300122.8,105732.6938
391,113490536.7,51164.92428
383,12756820.21,15230.4311
384,195709616.6,125543.1241
385,281234475,144978.4045
370,431335457.5,80863.44816
374,57750675.68,44006.97966
393,116589341.6,60039.22772
374,57750675.68,44006.97966
371,101686007.7,49639.24318
382,10371682.28,15326.51537
378,459052680.3,127261.9191
389,127273993.1,194486.2711
367,418175043.6,164365.9689
386,227089486.9,141631.259
386,227089486.9,141631.259
388,330456789.5,139179.7665
365,196893375.2,70462.72383
372,105861026,48072.19005
392,353999425.1,208306.5512
371,101686007.7,49639.24318
385,281234475,144978.4045
392,353999425.1,208306.5512
367,418175043.6,164365.9689
379,69740488.21,38121.51007
387,40304001.92,32547.75475
378,459052680.3,127261.9191
367,418175043.6,164365.9689
375,285416473.6,76185.17615
372,105861026,48072.19005
382,10371682.28,15326.51537
359,714140374.7,394997.951
380,12450792.73,14763.92378
367,418175043.6,164365.9689
390,259304969.2,165257.5379
371,101686007.7,49639.24318
379,69740488.21,38121.51007
359,714140374.7,394997.951
379,69740488.21,38121.51007
373,137109498.8,48990.92964
377,460785015.7,107955.3294
371,101686007.7,49639.24318
389,127273993.1,194486.2711
374,57750675.68,44006.97966
378,459052680.3,127261.9191
370,431335457.5,80863.44816
384,195709616.6,125543.1241
376,171197080.7,65267.89422
386,227089486.9,141631.259
390,259304969.2,165257.5379
380,12450792.73,14763.92378
361,303163263.5,81432.19432
379,69740488.21,38121.51007
378,459052680.3,127261.9191
388,330456789.5,139179.7665
386,227089486.9,141631.259
386,227089486.9,141631.259
388,330456789.5,139179.7665
365,196893375.2,70462.72383
370,431335457.5,80863.44816
378,459052680.3,127261.9191
370,431335457.5,80863.44816
370,431335457.5,80863.44816
361,303163263.5,81432.19432
379,69740488.21,38121.51007
378,459052680.3,127261.9191
371,101686007.7,49639.24318
370,431335457.5,80863.44816
390,259304969.2,165257.5379
368,314450231,106822.6587
368,314450231,106822.6587
385,281234475,144978.4045
370,431335457.5,80863.44816
378,459052680.3,127261.9191
379,69740488.21,38121.51007
388,330456789.5,139179.7665
371,101686007.7,49639.24318
375,285416473.6,76185.17615
364,44478385.8,32187.48719
370,431335457.5,80863.44816
364,44478385.8,32187.48719
379,69740488.21,38121.51007
378,459052680.3,127261.9191
383,12756820.21,15230.4311
366,25779412.89,22754.95273
379,69740488.21,38121.51007
380,12450792.73,14763.92378
370,431335457.5,80863.44816
361,303163263.5,81432.19432
366,25779412.89,22754.95273
388,330456789.5,139179.7665
378,459052680.3,127261.9191
378,459052680.3,127261.9191
370,431335457.5,80863.44816
378,459052680.3,127261.9191
374,57750675.68,44006.97966
383,12756820.21,15230.4311
375,285416473.6,76185.17615
373,137109498.8,48990.92964
379,69740488.21,38121.51007
359,714140374.7,394997.951
378,459052680.3,127261.9191
392,353999425.1,208306.5512
378,459052680.3,127261.9191
363,462300122.8,105732.6938
370,431335457.5,80863.44816
368,314450231,106822.6587
359,714140374.7,394997.951
383,12756820.21,15230.4311
363,462300122.8,105732.6938
371,101686007.7,49639.24318
378,459052680.3,127261.9191
372,105861026,48072.19005
374,57750675.68,44006.97966
378,459052680.3,127261.9191
374,57750675.68,44006.97966
378,459052680.3,127261.9191
371,101686007.7,49639.24318
372,105861026,48072.19005
383,12756820.21,15230.4311
371,101686007.7,49639.24318
359,714140374.7,394997.951
372,105861026,48072.19005
359,714140374.7,394997.951
383,12756820.21,15230.4311
388,330456789.5,139179.7665
